,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
222,AFRC Dragon Hill Lodge,0.00,"2,74,345.50",0.00,0.00,"13,82,079.90",0.00,February,2022,,
223,Seoul,0.00,"4,008.00",0.00,0.00,"37,118.00",0.00,February,2022,37.566535,126.97797
224,Casey & Hovey,0.00,"2,35,924.70",0.00,0.00,"11,29,789.75",0.00,February,2022,,
225,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,February,2022,,
226,Camp Humphreys,0.00,"8,91,007.75",0.00,0.00,"42,45,156.45",0.00,February,2022,,
227,Daegu,0.00,"2,07,152.50",0.00,0.00,"11,68,429.45",0.00,February,2022,,
228,Chinhae Navy,0.00,"42,990.00",0.00,0.00,"2,13,506.15",0.00,February,2022,,
229,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,February,2022,,
230,Camp Zama,0.00,0.00,"96,594.05",0.00,0.00,"4,37,652.50",February,2022,,
231,Fuji Marines,0.00,0.00,"1,408.00",0.00,0.00,"12,314.00",February,2022,,
232,Sanno Navy,0.00,0.00,"27,221.10",0.00,0.00,"3,77,202.30",February,2022,,
233,Atsugi Navy,0.00,0.00,"59,068.50",0.00,0.00,"4,05,473.55",February,2022,,
234,Okinawa,0.00,0.00,"4,152.50",0.00,0.00,"28,715.65",February,2022,26.212401,127.68093
235,Okinawa Marines,0.00,0.00,"8,15,254.80",0.00,0.00,"43,04,617.80",February,2022,,
236,Okinawa Navy,0.00,0.00,"31,813.50",0.00,0.00,"1,63,451.35",February,2022,,
237,Iwakuni Marines,0.00,0.00,"1,18,308.25",0.00,0.00,"7,17,174.90",February,2022,,
238,Sasebo Navy,0.00,0.00,"1,82,590.00",0.00,0.00,"9,85,281.80",February,2022,,
239,Yokosuka Navy,0.00,0.00,"4,06,872.95",0.00,0.00,"21,49,105.40",February,2022,,
240,Singapore Navy,0.00,0.00,0.00,0.00,0.00,0.00,February,2022,,
241,Total Gaming Revenue,"12,78,262.91","16,55,428.45","17,43,283.65","61,23,157.31","81,76,079.70","95,80,989.25",February,2022,,
242,Kaiserslautern,"2,19,581.90",,,,,,February,2023,,
243,Grafenwoehr,"1,19,169.80",0.00,0.00,"1,333,814 .35",0.00,0.00,February,2023,,
244,Wiesbaden,"2,35,469.55",0.00,0.00,"678,954 .85",0.00,0.00,February,2023,,
245,Vicenza,"98,297.60",0.00,0.00,"11,11,095.95",0.00,0.00,February,2023,45.545479,11.535421
246,Livorno,"10,729.80",0.00,0.00,"3,93,968.30",0.00,0.00,February,2023,43.548473,10.310567
247,Stuttgart,"2,07,678.95",0.00,0.00,"64,536.35",0.00,0.00,February,2023,48.775418,9.181759
248,Baumholder,"61,122.80",0.00,0.00,"10,10,769.85",0.00,0.00,February,2023,49.613889,7.333333
249,Ansbach,"77,454.40",0.00,0.00,"2,27,162.80",0.00,0.00,February,2023,49.300425,10.571936
250,Brunssum,0.00,0.00,0.00,"3,37,017.70",0.00,0.00,February,2023,50.948896,5.972166
251,AFRC Edelweiss Lodge,"2,668.10",0.00,0.00,"53,971.75",0.00,0.00,February,2023,,
252,Hohenfels,"41,941.30",0.00,0.00,"61,244.65",0.00,0.00,February,2023,49.203278,11.849022
253,Naples Navy,"1,24,743.35",0.00,0.00,"1,64,161.25",0.00,0.00,February,2023,,
254,Sigonella Navy,"63,871.30",0.00,0.00,"5,35,546.75",0.00,0.00,February,2023,,
255,Rota Navy,"76,033.50",0.00,0.00,"2,76,050.80",0.00,0.00,February,2023,,
256,Souda Bay Navy,"12,150.45",0.00,0.00,"361,403 .85",0.00,0.00,February,2023,,
257,AFRC Dragon Hill Lodge,0.00,0.00,0.00,"47,720.75",0.00,0.00,February,2023,,
258,Seoul,0.00,"4,29,463.65",0.00,0.00,"21,57,768.00",0.00,February,2023,37.566535,126.97797
259,Casey &   Hovey,0.00,"11,951.60",0.00,0.00,"75,831.25",0.00,February,2023,,
260,Uijongbu,0.00,"1,30,853.65",0.00,0.00,"8,42,378.05",0.00,February,2023,,
261,Camp Humphreys,0.00,0.00,0.00,0.00,0.00,0.00,February,2023,,
262,Daegu,0.00,"8,86,356.90",0.00,0.00,"4,956,569 .35",0.00,February,2023,,
