Details,Current Balance,Month,Year,Type
EQUITY,"4,52,32,973.04",October,2022,Liability
TOTAL LIABILITIES & EQUITY,"4,97,96,414.36",October,2022,Liability
Cash--Operating ,"2,76,50,960.63",October,2023,Asset
Cash--Restricted,"52,60,123.02",October,2023,Asset
Accounts Receivable,"3,61,420.58",October,2023,Asset
Prepaid Expenses,"3,20,197.14",October,2023,Asset
Fixed Assets,"4,88,82,886.12",October,2023,Asset
Less Accum Depreciation,"3,13,02,330.12",October,2023,Asset
TOTAL ASSETS,"5,11,73,257.37",October,2023,Asset
Accounts Payable,"5,88,375.44",October,2023,Liability
Distributions Payable,"29,12,129.34",October,2023,Liability
Accrued Liabilities,"15,62,772.73",October,2023,Liability
Accrued Salaries,"2,94,503.63",October,2023,Liability
Accrued Leave Payable,"5,82,503.19",October,2023,Liability
Total Liabilities,"59,40,284.33",October,2023,Liability
EQUITY,"4,52,32,973.04",October,2023,Liability
TOTAL LIABILITIES & EQUITY,"5,11,73,257.37",October,2023,Liability
Cash,"3,13,12,372.62",November,2020,Asset
Accounts Receivable,"95,239.27",November,2020,Asset
Prepaid Expenses,"3,50,628.13",November,2020,Asset
Fixed Assets,"4,49,69,464.29",November,2020,Asset
Less Accum Depreciation,"-3,10,61,079.26",November,2020,Asset
TOTAL ASSETS,"4,56,66,625.05",November,2020,Asset
Accounts Payable,"4,46,200.49",November,2020,Liability
Distributions Payable,"9,25,701.12",November,2020,Liability
Accrued Liabilities,"15,87,786.12",November,2020,Liability
Accrued Salaries,"5,41,402.48",November,2020,Liability
Accrued Leave Payable,"5,31,487.38",November,2020,Liability
Total Liabilities,"40,32,577.59",November,2020,Liability
EQUITY,"4,16,34,047.46",November,2020,Liability
TOTAL LIABILITIES & EQUITY,"4,56,66,625.05",November,2020,Liability
Cash,"3,97,93,207.19",November,2021,Asset
Accounts Receivable,"1,88,237.83",November,2021,Asset
Prepaid Expenses,"4,75,246.24",November,2021,Asset
Fixed Assets,"4,29,23,359.02",November,2021,Asset
Less Accum Depreciation,"3,32,03,267.42",November,2021,Asset
TOTAL ASSETS,"5,01,76,782.86",November,2021,Asset
Accounts Payable,"3,39,425.70",November,2021,Liability
Distributions Payable,"20,82,857.66",November,2021,Liability
Accrued Liabilities,"13,92,450.38",November,2021,Liability
Accrued Salaries,"5,71,087.91",November,2021,Liability
Accrued Leave Payable,"5,57,988.17",November,2021,Liability
Total Liabilities,"49,43,809.82",November,2021,Liability
EQUITY,"4,52,32,973.04",November,2021,Liability
TOTAL LIABILITIES & EQUITY,"5,01,76,782.86",November,2021,Liability
Cash--Operating,"2,21,29,627.22",November,2022,Asset
Cash--Restricted,"2,03,48,762.73",November,2022,Asset
Accounts Receivable,"2,24,264.16",November,2022,Asset
Prepaid Expenses,"4,95,076.21",November,2022,Asset
Fixed Assets,"4,13,96,414.16",November,2022,Asset
Less Accum Depreciation                       ,"3,42,56,888.74",November,2022,Asset
TOTAL ASSETS                                  ,"5,03,37,255.74",November,2022,Asset
Accounts Payable,"7,18,099.90",November,2022,Liability
Distributions Payable,"21,33,779.96",November,2022,Liability
Accrued Liabilities,"14,37,004.18",November,2022,Liability
Accrued Salaries,"2,91,474.63",November,2022,Liability
Accrued Leave Payable,"5,23,924.03",November,2022,Liability
Total Liabilities,"51,04,282.70",November,2022,Liability
EQUITY,"4,52,32,973.04",November,2022,Liability
TOTAL LIABILITIES & EQUITY,"5,03,37,255.74",November,2022,Liability
Cash--Operating,"2,60,44,278.15",November,2023,Asset
Cash--Restricted,"48,18,200.47",November,2023,Asset
Accounts Receivable,"4,43,373.01",November,2023,Asset
Prepaid Expenses,"10,53,427.13",November,2023,Asset
Fixed Assets,"4,89,41,708.86",November,2023,Asset
Less Accum Depreciation,"3,16,80,181.24",November,2023,Asset
TOTAL ASSETS,"4,96,20,806.38",November,2023,Asset
Accounts Payable,"9,31,324.31",November,2023,Liability
Distributions Payable,"11,07,651.80",November,2023,Liability
Accrued Liabilities,"14,17,667.01",November,2023,Liability
Accrued Salaries,"3,57,768.42",November,2023,Liability
Accrued Leave Payable,"5,73,421.80",November,2023,Liability
Total Liabilities,"43,87,833.34",November,2023,Liability
EQUITY,"4,52,32,973.04",November,2023,Liability
TOTAL LIABILITIES & EQUITY,"4,96,20,806.38",November,2023,Liability
Cash,"2,75,46,125.25",December,2019,Asset
Accounts Receivable,"2,28,103.23",December,2019,Asset
Prepaid Expenses,"4,29,988.47",December,2019,Asset
Fixed Assets,"4,51,72,917.18",December,2019,Asset
Less Accum Depreciation,"2,95,46,648.51",December,2019,Asset
TOTAL ASSETS,"4,38,30,485.62",December,2019,Asset
Accounts Payable,"5,53,006.07",December,2019,Liability
Distributions Payable,"15,47,249.10",December,2019,Liability
Accrued Liabilities,"14,10,653.45",December,2019,Liability
Accrued Salaries,"2,70,663.87",December,2019,Liability
Accrued Leave Payable,"4,90,698.84",December,2019,Liability
Total Liabilities,"42,72,271.33",December,2019,Liability
EQUITY,"3,95,58,214.29",December,2019,Liability
TOTAL LIABILITIES &  EQUITY,"4,38,30,485.62",December,2019,Liability
Cash,"3,17,54,597.73",December,2020,Asset
Accounts Receivable,"2,47,253.41",December,2020,Asset
Prepaid Expenses,"3,56,184.28",December,2020,Asset
Fixed Assets,"4,49,69,464.29",December,2020,Asset
Less Accum Depreciation,"3,14,32,666.4",December,2020,Asset
TOTAL ASSETS,"4,58,94,833.31",December,2020,Asset
Accounts Payable,"5,42,394.04",December,2020,Liability
Distributions Payable,"11,12,913.37",December,2020,Liability
Accrued Liabilities,"13,76,608.68",December,2020,Liability
Accrued Salaries,"3,39,069.18",December,2020,Liability
Accrued Leave Payable,"5,18,213.44",December,2020,Liability
Total Liabilities,"38,89,198.71",December,2020,Liability
EQUITY,"4,20,05,634.60",December,2020,Liability
TOTAL LIABILITIES & EQUITY,"4,58,94,833.31",December,2020,Liability
Cash,"3,95,09,213.04",December,2021,Asset
Accounts Receivable,"1,92,717.22",December,2021,Asset
Prepaid Expenses,"4,71,285.08",December,2021,Asset
Fixed Assets,"4,29,23,359.02",December,2021,Asset
Less Accum Depreciation,"3,35,24,916.06",December,2021,Asset
TOTAL ASSETS,"4,95,71,658.30",December,2021,Asset
Accounts Payable,"3,97,111.88",December,2021,Liability
Distributions Payable,"15,98,981.90",December,2021,Liability
Accrued Liabilities,"14,50,880.61",December,2021,Liability
Accrued Salaries,"3,76,938.29",December,2021,Liability
Accrued Leave Payable,"5,14,772.58",December,2021,Liability
Total Liabilities,"43,38,685.26",December,2021,Liability
EQUITY,"4,52,32,973.04",December,2021,Liability
TOTAL LIABILITIES & EQUITY,"4,95,71,658.30",December,2021,Liability
Cash--Operating,"2,15,86,278.38",December,2022,Asset
Cash--Restricted,"1,99,72,453.38",December,2022,Asset
Accounts Receivable,"3,82,222.25",December,2022,Asset
Prepaid Expenses,"4,66,140.12",December,2022,Asset
Fixed Assets,"4,16,41,513.20",December,2022,Asset
Less Accum Depreciation,"3,45,19,558.56",December,2022,Asset
TOTAL ASSETS,"4,95,29,048.77",December,2022,Asset
Accounts Payable,"4,75,756.27",December,2022,Liability
Distributions Payable,"13,28,760.48",December,2022,Liability
Accrued Liabilities,"16,34,752.63",December,2022,Liability
Accrued Salaries,"3,55,441.13",December,2022,Liability
Accrued Leave Payable,"5,01,365.22",December,2022,Liability
Total Liabilities,"42,96,075.73",December,2022,Liability
EQUITY,"4,52,32,973.04",December,2022,Liability
TOTAL LIABILITIES & EQUITY,"4,95,29,048.77",December,2022,Liability
Cash--Operating,"2,72,73,506.70",December,2023,Asset
Cash--Restricted,"39,80,111.46",December,2023,Asset
Accounts Receivable,"4,69,606.13",December,2023,Asset
Prepaid Expenses,"10,78,314.89",December,2023,Asset
Fixed Assets,"4,98,79,776.39",December,2023,Asset
Less Accum Depreciation,"-3,12,68,571.50",December,2023,Asset
TOTAL ASSETS,"5,14,12,744.07",December,2023,Asset
Accounts Payable,"21,81,320.93",December,2023,Liability
Distributions Payable,"7,99,313.84",December,2023,Liability
Accrued Liabilities,"22,59,456.92",December,2023,Liability
Accrued Salaries,"3,86,900.61",December,2023,Liability
Accrued Leave Payable,"5,52,778.73",December,2023,Liability
Total Liabilities,"61,79,771.03",December,2023,Liability
EQUITY,"4,52,32,973.04",December,2023,Liability
TOTAL LIABILITIES & EQUITY,"5,14,12,744.07",December,2023,Liability
