Country,FO#,LOC,SVC,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,DIE,COU,ACM,ITC,Total,Month,Year,Region,latitude,longitude
YOKOSUKA,0,0,,38,17,14,6,31,8,-,114,1,6,-,,12,138,8,2020,Japan,35.281341,139.6722
HARBOR VIEW,19,3096,Navy,7,6,3,5,5,1,-,27,6,1,-,,2,31,8,2020,Japan,,
HARIO,19,3097,Navy,3,6,2,3,-,1,-,15,1,1,-,,2,19,8,2020,Japan,,
GALAXIES,19,3098,Navy,8,6,8,-,4,3,-,29,1,1,-,,2,33,8,2020,Japan,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
IRISH PUB,2,194,,14,4,10,-,10,4,-,42,1,,-,,0,48,9,2020,Europe,,
LCCC,2,195,,10,3,5,-,10,2,-,30,1,,-,,0,35,9,2020,Europe,,
KAZABRA,2,196,,6,-,4,-,-,2,-,12,1,,-,,0,15,9,2020,Europe,,
STRIKERS,2,218,,9,4,7,2,8,3,-,33,1,,-,,0,38,9,2020,Europe,,
GOLD MINE,2,1038,,8,4,4,3,3,-,-,22,1,,-,,0,27,9,2020,Europe,,
ROB JAVA CAFE,2,2887,,6,-,3,1,1,1,-,12,1,,-,,0,15,9,2020,Europe,,
SEMBACH C/C,2,3072,,7,-,2,-,7,3,-,19,1,,-,,0,23,9,2020,Europe,49.511398,7.864983
KAISERSLAUTERN,0,0,,60,15,35,6,39,15,-,170,7,,-,,0,201,9,2020,Europe,,
,0,0,,,,,,,,0,,,,,,0,,9,2020,Europe,,
LIVORNO C/C,4,330,,3,3,-,4,3,-,3,16,1,,-,,0,21,9,2020,Europe,43.548473,10.310567
ARENA B/C,4,2895,,13,5,6,3,10,4,-,41,1,,-,,0,46,9,2020,Europe,,
DEL DIN C/C,4,3132,,4,-,6,1,5,-,-,16,1,,-,,0,19,9,2020,Europe,,
VICENZA,0,0,,20,8,12,8,18,4,3,73,3,,-,,0,86,9,2020,Europe,45.545479,11.535421
EDELWEISS,10,2489,,4,4,4,-,8,-,3,23,1,,-,,0,28,9,2020,Europe,,
GARMISCH,0,0,,4,4,4,-,8,-,3,23,1,,-,,0,28,9,2020,Europe,47.491695,11.095498
,0,0,,,,,,,,0,,,,,,0,,9,2020,Europe,,
ACTION LANES,31,437,,7,-,2,2,7,2,-,20,1,,-,,0,24,9,2020,Europe,,
STORCK BRK B/C,31,438,,6,-,3,2,3,2,-,16,1,,-,,0,20,9,2020,Europe,,
ANSBACH,0,0,,13,-,5,4,10,4,-,36,2,,-,,0,44,9,2020,Europe,49.300425,10.571936
,0,0,,,,,,,,0,24,1,,-,,0,29,9,2020,Europe,,
GRAFFITI'S,39,2618,,21,-,3,-,-,-,-,,,,,,0,,9,2020,Japan,,
SOUDA BAY,0,0,,21,-,3,-,-,-,-,24,1,,-,,0,29,9,2020,Japan,,
,0,0,,,,,,,,0,,,,,,0,,9,2020,Japan,,
SIG B/C,40,2595,,8,2,5,4,2,-,-,21,1,,-,,0,24,9,2020,Japan,,
JOX SPORTS BAR,40,2597,,10,2,2,2,3,-,-,19,1,,-,,0,24,9,2020,Japan,,
SIGONELLA,0,0,,18,4,7,6,5,-,-,40,2,,-,,0,48,9,2020,Japan,,
,0,0,,,,,,,,0,,,,,,0,,9,2020,Japan,,
CAPO OLDE TOWN,42,2588,,10,-,6,2,2,2,-,22,1,,-,,0,26,9,2020,Japan,,
NAPLES B/C,42,2591,,8,3,3,2,4,5,-,25,1,,-,,0,29,9,2020,Japan,40.851775,14.268124
NAPLES,0,0,,18,3,9,4,6,7,-,47,2,,-,,0,55,9,2020,Japan,40.851775,14.268124
,0,0,,,,,,,,0,,,,,,0,,9,2020,Japan,,
LA PLAZA,43,2600,,13,4,2,-,6,4,-,29,1,,-,,0,33,9,2020,Japan,,
ROTA LANES,43,2601,,3,-,3,1,5,1,-,13,1,,-,,0,16,9,2020,Europe,36.62629,-6.362981
ROTA FLEET CTR,43,2605,,2,-,2,1,-,-,-,5,1,,-,,0,8,9,2020,Europe,36.62629,-6.362981
BOQ,43,2890,,4,-,3,-,2,1,-,10,1,,-,,0,13,9,2020,Europe,,
ROTA,0,0,,22,4,10,2,13,6,-,57,4,,-,,0,70,9,2020,Europe,36.62629,-6.362981
,0,0,,,,,,,,0,,,,,,0,,9,2020,Europe,,
PATCH C/C,45,256,,15,3,8,3,14,5,-,48,1,,-,,0,53,9,2020,Europe,,
KELLY C/C,45,280,,11,-,3,1,3,1,-,19,1,,-,,0,22,9,2020,Europe,,
GALAXY B/C,45,298,,6,2,3,1,10,2,-,24,1,,-,,0,27,9,2020,Europe,,
STUTTGART,0,0,,32,5,14,5,27,8,-,91,3,,-,,0,102,9,2020,Europe,48.775418,9.181759
,0,0,,,,,,,,0,,,,,,0,,9,2020,Europe,,
GRAF E/C,46,413,,17,4,7,4,6,-,-,38,1,,-,,0,43,9,2020,Europe,,
HOHENFELS B/C,46,415,,4,4,4,4,2,-,-,18,1,,-,,0,23,9,2020,Europe,49.203278,11.849022
VILSECK B/C,46,417,,7,-,-,2,4,-,-,13,1,,-,,0,16,9,2020,Europe,,
LANGENBRUCK,46,1858,,11,4,4,-,15,2,-,36,1,,-,,0,41,9,2020,Europe,49.991466,8.663401
ALGIERS REC,46,3145,,6,-,2,2,4,-,-,14,1,,-,,0,18,9,2020,Europe,,
VILSECK,0,0,,45,12,17,12,31,2,-,119,5,,-,,0,141,9,2020,Europe,,
,0,0,,,,,,,,0,,,,,,0,,9,2020,Europe,,
THE VAULT,47,1669,,13,4,7,-,17,2,-,43,1,,-,,0,50,9,2020,Europe,,
KASTEL KLUB,47,1881,,9,-,5,-,2,1,-,17,1,,-,,0,20,9,2020,Europe,,
WIESBADEN E/C,47,2976,,11,4,4,1,4,2,-,26,-,,1,,0,27,9,2020,Europe,,
ACE'S GAME RM,47,3108,,6,1,2,-,-,1,-,10,1,,-,,0,13,9,2020,Europe,,
WIESBADEN,0,0,,39,9,18,1,23,6,-,96,3,,1,,0,110,9,2020,Europe,,
,0,0,,,,,,,,0,.,,,,,0,,9,2020,Europe,,
Japan,FO,Loc,,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,,COU,,0,Total,9,2020,Japan,36.204824,138.25292
,0,0,,,,,,,,0,,,,,,0,,9,2020,Japan,,
YOKOSUKA B/C,18,3146,,8,4,3,-,6,1,-,22,1,,-,,0,26,9,2020,Japan,35.281341,139.6722
CLUB ALLIANCE,18,3147,,7,5,2,1,12,2,-,29,1,,-,,0,33,9,2020,Japan,,
CPO CLUB,18,3148,,7,-,3,-,1,1,-,12,1,,-,,0,16,9,2020,Japan,,
TAKEMIYA CLUB,18,3149,,3,-,-,1,1,1,-,6,1,,-,,0,10,9,2020,Japan,,
OFFICERS CLUB,18,3150,,6,-,2,2,1,2,-,13,1,,-,,0,17,9,2020,Japan,,
SEASIDE CLUB,18,3151,,4,8,4,2,13,1,-,32,1,,-,,0,36,9,2020,Japan,,
YOKOSUKA,0,0,,35,17,14,6,34,8,-,114,6,,-,,0,138,9,2020,Japan,35.281341,139.6722
,0,0,,,,,,,,0,,,,,,0,,9,2020,Japan,,
HARBOR VIEW,19,3096,,7,6,3,5,5,1,-,27,1,,-,,0,31,9,2020,Japan,,
HARIO,19,3097,,3,6,2,3,-,1,-,15,1,,-,,0,19,9,2020,Japan,,
GALAXIES,19,3098,,7,6,8,-,5,3,-,29,1,,-,,0,33,9,2020,Japan,,
SASEBO,0,0,,17,18,13,8,10,5,-,71,3,,-,,0,83,9,2020,Japan,33.179915,129.71511
Clsd,0,0,,,,,,,,0,,,,,,0,,,,Japan,,
,0,0,,,,,,,,0,,,,,,0,,,,Japan,,
,0,0,,,,,,,,0,,,,,,0,,,,Japan,,
ZAMA C/C,22,0,,,5,4,2,11,3,-,33,1,,-,,0,36,9,2020,Japan,35.488587,139.40767
SHA CLUB,22,0,,,-,1,2,-,-,-,7,1,,-,,0,10,9,2020,Japan,,
ZAMA B/C,22,0,,,-,2,1,-,-,-,8,1,,-,,0,11,9,2020,Japan,35.488587,139.40767
ROAD HOUSE,22,0,,,-,-,-,-,-,-,7,1,,-,,0,10,9,2020,Japan,,
SANNO HOTEL,22,0,,,6,4,2,8,-,-,32,1,,-,,0,36,9,2020,Japan,,
CORNER POCKET C/C,22,0,,,-,2,2,3,-,-,17,1,,-,,0,20,9,2020,Japan,,
CLUB TRILOGY,22,0,,,6,2,2,6,-,-,26,1,,-,,0,30,9,2020,Japan,,
ZAMA G/C,22,0,,,-,-,-,-,-,-,0,-,,-,,0,0,9,2020,Japan,35.488587,139.40767
ZAMA,0,0,,,17,15,11,28,3,-,130,7,,-,,0,153,9,2020,Japan,35.488587,139.40767
,0,0,,,,,,,,0,,,,,,0,,9,2020,Japan,,
HAVANA'S,26,0,,,-,1,2,1,1,-,6,1,,-,,0,9,9,2020,Japan,,
HASHMARKS,26,0,,,-,6,4,4,-,-,20,1,,-,,0,24,9,2020,Japan,,
COURTNEY B/C,26,0,,,-,6,2,2,2,-,15,1,,-,,0,19,9,2020,Japan,,
TAIYO G/C,26,0,,,9,10,-,9,4,-,53,1,,-,,0,58,9,2020,Japan,,
BUTLER B/C,26,0,,,4,5,1,7,2,3,26,1,,-,,0,30,9,2020,Japan,,
OCEAN BREEZE,26,0,,,18,14,-,19,3,-,68,1,,-,,0,74,9,2020,Japan,,
SURFSIDE,26,0,,,-,4,2,6,-,-,18,1,,-,,0,22,9,2020,Japan,,
PALMS,26,0,,,8,7,4,9,2,-,46,1,,-,,0,51,9,2020,Japan,,
WEST PAC LODGE,26,0,,,-,4,3,2,-,-,15,1,,-,,0,18,9,2020,Japan,,
BEACH HEAD,26,0,,,-,5,3,-,-,-,11,1,,-,,0,15,9,2020,Japan,,
CROW'S NEST,26,0,,,4,3,2,4,-,-,19,1,,-,,0,23,9,2020,Japan,,
PORT CALL,26,0,,,-,2,2,-,3,-,9,1,,-,,0,13,9,2020,Japan,,
WHISPERS,26,0,,,4,2,-,-,-,-,10,-,,-,,0,12,9,2020,Japan,,
HANSEN TLF,26,0,,,-,4,2,2,2,-,12,1,,-,,0,15,9,2020,Japan,,
OKINAWA,0,0,,,47,73,27,65,19,3,328,13,,-,,0,383,9,2020,Japan,26.212401,127.68093
,0,0,,,,,,,,0,,,,,,0,,9,2020,Japan,,
TORII PINES TLF,27,0,,,4,6,2,3,-,-,23,1,,-,,0,27,9,2020,Japan,,
IWAKUNI CLUB,27,0,,,4,4,2,6,-,-,36,1,,-,,0,41,9,2020,Japan,34.166562,132.21885
IWAKUNI,0,0,,,8,10,4,9,-,-,59,2,,-,,0,68,9,2020,Japan,34.166562,132.21885
,,,,,,,,,,,,,,,,,,,,,,
Korea,FO,0,,,AIN,IGT,WMS,BAL,KON,ITE,Tot/EGMs,FRS,,COU,,0,Total,9,2020,Korea,,
,0,0,,,,,,,,0,15,1,,-,,0,19,9,2020,Korea,,
TERROR CLUB,17,0,,,-,-,-,-,-,-,,,,,,0,,9,2020,Korea,,
SINGAPORE,0,0,,,-,-,-,-,-,-,15,1,,-,,0,19,9,2020,Korea,,
,0,0,,,,,,,,0,,,,,,0,,9,2020,Korea,,
DRAGON HILL,20,0,,,2,8,7,32,3,-,93,1,,-,,0,100,9,2020,Korea,,
K-16 C/C,20,0,,,-,2,-,-,-,-,8,1,,-,,0,12,9,2020,Korea,,
SEOUL,0,0,,,2,10,7,32,3,-,101,2,,-,,0,112,9,2020,Korea,37.566535,126.97797
,0,0,,,,,,,,0,,,,,,0,,9,2020,Korea,,
STATE'S GRILL,21,0,,,14,2,-,8,2,-,41,1,,-,,0,45,9,2020,Korea,,
HILLTOP,21,0,,,-,1,-,-,-,-,1,-,,-,,0,1,9,2020,Korea,,
LOS CANTINA,21,0,,,-,1,-,-,3,3,12,1,,-,,0,16,9,2020,Korea,,
WINDY CITY,21,0,,,-,5,6,-,-,-,25,1,,-,,0,29,9,2020,Korea,,
EL GUERRERO,21,0,,,-,10,-,3,-,-,29,1,,-,,0,33,9,2020,Korea,,
TURTLE COVE,21,0,,,-,-,5,1,-,-,10,1,,-,,0,14,9,2020,Korea,,
DAEGU,0,0,,,14,19,11,12,5,3,118,5,,-,,0,138,9,2020,Korea,,
,0,0,,,,,,,,0,,,,,,0,,9,2020,Korea,,
GATEWAY CLUB,23,0,,,5,2,-,6,2,-,24,-,,1,,0,25,9,2020,Korea,,
WARRIOR'S,23,0,,,-,2,2,-,-,-,14,1,,-,,0,17,9,2020,Korea,,
CASEY B/C,23,0,,,3,2,-,2,2,-,21,1,,-,,0,24,9,2020,Korea,,
CASEY LODGE,23,0,,,-,1,2,-,-,-,10,1,,-,,0,13,9,2020,Korea,,
UIJEONGBU,0,0,,,8,7,4,8,4,-,69,3,,1,,0,79,9,2020,Korea,,
,0,0,,,,,,,,0,,,,,,0,,9,2020,Korea,,
FLIGHTLINE,24,0,,,-,-,-,2,-,-,10,1,,-,,0,13,9,2020,Korea,,
CAVE,24,0,,,6,5,-,8,-,-,41,1,,-,,0,46,9,2020,Korea,,
HUMPHREYS B/C,24,0,,,4,4,-,4,-,-,20,1,,-,,0,24,9,2020,Korea,,
MORNING CALM,24,0,,,15,6,-,20,6,-,62,1,,-,,0,67,9,2020,Korea,,
PYEONGTAEK,0,0,,,25,15,-,34,6,-,133,4,,-,,0,150,9,2020,Korea,36.992108,127.11294
IRISH PUB,2.0,194.0,Army,14,4,10,-,10,4,-,42,1,2,-,,3,48.0,1.0,2021.0,Europe,,
LCCC,2.0,195.0,Army,10,3,5,-,10,2,-,30,1,2,-,,2,35.0,1.0,2021.0,Europe,,
KAZABRA,2.0,196.0,Army,6,-,4,-,-,2,-,12,1,1,-,,1,15.0,1.0,2021.0,Europe,,
STRIKERS,2.0,218.0,Army,9,4,7,2,8,3,-,33,1,2,-,,2,38.0,1.0,2021.0,Europe,,
GOLD MINE,2.0,1038.0,Army,9,4,3,3,3,-,-,22,1,2,-,,2,27.0,1.0,2021.0,Europe,,
ROB JAVA CAFE,2.0,2887.0,Army,6,-,3,1,1,1,-,12,1,1,-,,1,15.0,1.0,2021.0,Europe,,
SEMBACH C/C,2.0,3072.0,Army,7,-,2,-,7,3,-,19,1,1,-,,2,23.0,1.0,2021.0,Europe,49.511398,7.864983
KAISERSLAUTERN,,,,61,15,34,6,39,15,-,170,7,11,-,,13,201.0,1.0,2021.0,Europe,,
LIVORNO C/C,4.0,330.0,Army,3,3,-,4,3,-,3,16,1,2,-,,2,21.0,1.0,2021.0,Europe,43.548473,10.310567
ARENA B/C,4.0,2895.0,Army,13,5,6,3,10,4,-,41,1,2,-,,2,46.0,1.0,2021.0,Europe,,
DEL DIN C/C,4.0,3132.0,Army,4,-,6,1,5,-,-,16,1,1,-,,1,19.0,1.0,2021.0,Europe,,
VICENZA,,,,20,8,12,8,18,4,3,73,3,5,-,,5,86.0,1.0,2021.0,Europe,45.545479,11.535421
EDELWEISS,10.0,2489.0,Army,4,4,4,-,8,-,3,23,1,2,-,,2,28.0,1.0,2021.0,Europe,,
GARMISCH,,,,4,4,4,-,8,-,3,23,1,2,-,,2,28.0,1.0,2021.0,Europe,47.491695,11.095498
ACTION LANES,31.0,437.0,Army,7,-,2,2,7,2,-,20,1,1,-,,2,24.0,1.0,2021.0,Europe,,
STORCK BRK B/C,31.0,438.0,Army,6,-,3,2,3,2,-,16,1,1,-,,2,20.0,1.0,2021.0,Europe,,
ANSBACH,,,,13,-,5,4,10,4,-,36,2,2,-,,4,44.0,1.0,2021.0,Europe,49.300425,10.571936
,,,,,,,,,,,,,,,,,,1.0,2021.0,Europe,,
GRAFFITI'S,39.0,2618.0,Navy,21,-,3,-,-,-,-,24,1,2,-,,2,29.0,1.0,2021.0,Europe,,
SOUDA BAY,,,,21,-,3,-,-,-,-,24,1,2,-,,2,29.0,1.0,2021.0,Europe,,
SIG B/C,40.0,2595.0,Navy,8,2,5,4,2,-,-,21,1,1,-,,1,24.0,1.0,2021.0,Europe,,
JOX SPORTS BAR,40.0,2597.0,Navy,10,2,2,2,3,-,-,19,1,2,-,,2,24.0,1.0,2021.0,Europe,,
SIGONELLA,,,,18,4,7,6,5,-,-,40,2,3,-,,3,48.0,1.0,2021.0,Europe,,
CAPO OLDE TOWN,42.0,2588.0,Navy,10,-,6,2,2,2,-,22,1,1,-,,2,26.0,1.0,2021.0,Europe,,
NAPLES B/C,42.0,2591.0,Navy,6,3,3,2,6,5,-,25,1,1,-,,2,29.0,1.0,2021.0,Europe,40.851775,14.268124
NAPLES,,,,16,3,9,4,8,7,-,47,2,2,-,,4,55.0,1.0,2021.0,Europe,40.851775,14.268124
LA PLAZA,43.0,2600.0,Navy,13,4,2,-,6,4,-,29,1,1,-,,2,33.0,1.0,2021.0,Europe,,
ROTA LANES,43.0,2601.0,Navy,3,-,3,1,5,1,-,13,1,1,-,,1,16.0,1.0,2021.0,Europe,36.62629,-6.362981
ROTA FLEET CTR,43.0,2605.0,Navy,2,-,2,1,-,-,-,5,1,1,-,,1,8.0,1.0,2021.0,Europe,36.62629,-6.362981
BOQ,43.0,2890.0,Navy,4,-,3,-,2,1,-,10,1,1,-,,1,13.0,1.0,2021.0,Europe,,
ROTA,,,,22,4,10,2,13,6,-,57,4,4,-,,5,70.0,1.0,2021.0,Europe,36.62629,-6.362981
PATCH C/C,45.0,256.0,Army,15,3,8,3,14,5,-,48,1,2,-,,2,53.0,1.0,2021.0,Europe,,
KELLY C/C,45.0,280.0,Army,11,-,3,1,3,1,-,19,1,1,-,,1,22.0,1.0,2021.0,Europe,,
GALAXY B/C,45.0,298.0,Army,6,2,3,1,7,2,-,21,1,1,-,,1,24.0,1.0,2021.0,Europe,,
STUTTGART,,,,32,5,14,5,24,8,-,88,3,4,-,,4,99.0,1.0,2021.0,Europe,48.775418,9.181759
GRAF E/C,46.0,413.0,Army,17,4,7,4,6,-,-,38,1,2,-,,2,43.0,1.0,2021.0,Europe,,
HOHENFELS B/C,46.0,415.0,Army,4,4,4,4,2,-,-,18,1,2,-,,2,23.0,1.0,2021.0,Europe,49.203278,11.849022
VILSECK B/C,46.0,417.0,Army,7,-,-,2,4,-,-,13,1,1,-,,1,16.0,1.0,2021.0,Europe,,
LANGENBRUCK,46.0,1858.0,Army,11,4,4,-,15,2,-,36,1,2,-,,2,41.0,1.0,2021.0,Europe,49.991466,8.663401
ALGIERS REC,46.0,3145.0,Army,6,-,2,2,4,-,-,14,1,1,-,,2,18.0,1.0,2021.0,Europe,,
VILSECK,,,,45,12,17,12,31,2,-,119,5,8,-,,9,141.0,1.0,2021.0,Europe,,
THE VAULT,47.0,1669.0,Army,13,4,7,-,17,2,-,43,1,3,-,,3,50.0,1.0,2021.0,Europe,,
KASTEL KLUB,47.0,1881.0,Army,9,-,5,-,2,1,-,17,1,1,-,,1,20.0,1.0,2021.0,Europe,,
WIESBADEN E/C,47.0,2976.0,Army,11,4,4,1,4,2,-,26,-,-,1,,-,27.0,1.0,2021.0,Europe,,
ACE'S GAME RM,47.0,3108.0,Army,6,1,2,-,-,1,-,10,1,1,-,,1,13.0,1.0,2021.0,Europe,,
WIESBADEN,,,,39,9,18,1,23,6,-,96,3,5,1,,5,110.0,1.0,2021.0,Europe,,
YOKOSUKA B/C,18.0,3146.0,Navy,8,4,3,-,6,1,-,22,1,1,-,,2,26.0,1.0,2021.0,Japan,35.281341,139.6722
CLUB ALLIANCE,18.0,3147.0,Navy,7,5,2,1,12,2,-,29,1,1,-,,2,33.0,1.0,2021.0,Japan,,
CPO CLUB,18.0,3148.0,Navy,7,-,3,-,1,1,-,12,1,1,-,,2,16.0,1.0,2021.0,Japan,,
TAKEMIYA CLUB,18.0,3149.0,Navy,3,-,-,1,1,1,-,6,1,1,-,,2,10.0,1.0,2021.0,Japan,,
OFFICERS CLUB,18.0,3150.0,Navy,6,-,2,2,1,2,-,13,1,1,-,,2,17.0,1.0,2021.0,Japan,,
SEASIDE CLUB,18.0,3151.0,Navy,4,8,4,2,13,1,-,32,1,1,-,,2,36.0,1.0,2021.0,Japan,,
YOKOSUKA,,,,35,17,14,6,34,8,-,114,6,6,-,,12,138.0,1.0,2021.0,Japan,35.281341,139.6722
HARBOR VIEW,19.0,3096.0,Navy,7,6,3,5,5,1,-,27,1,1,-,,2,31.0,1.0,2021.0,Japan,,
HARIO,19.0,3097.0,Navy,3,6,2,3,-,1,-,15,1,1,-,,2,19.0,1.0,2021.0,Japan,,
GALAXIES,19.0,3098.0,Navy,7,6,8,-,5,3,-,29,1,1,-,,2,33.0,1.0,2021.0,Japan,,
SASEBO,,,,17,18,13,8,10,5,-,71,3,3,-,,6,83.0,1.0,2021.0,Japan,33.179915,129.71511
ZAMA C/C,22.0,,Army,,5,4,2,11,3,-,33,1,1,-,,1,36.0,1.0,2021.0,Japan,35.488587,139.40767
SHA CLUB,22.0,,Army,,-,1,2,-,-,-,7,1,1,-,,1,10.0,1.0,2021.0,Japan,,
ZAMA B/C,22.0,,Army,,-,2,1,-,-,-,8,1,1,-,,1,11.0,1.0,2021.0,Japan,35.488587,139.40767
ROAD HOUSE,22.0,,Marine Corps,,-,-,-,-,-,-,7,1,1,-,,1,10.0,1.0,2021.0,Japan,,
SANNO HOTEL,22.0,,Navy,,6,4,3,8,-,-,32,1,1,-,,2,36.0,1.0,2021.0,Japan,,
CORNER POCKET C/C,22.0,,Navy,,-,2,2,3,-,-,17,1,1,-,,1,20.0,1.0,2021.0,Japan,,
CLUB TRILOGY,22.0,,Navy,,6,2,2,8,-,-,28,1,1,-,,2,32.0,1.0,2021.0,Japan,,
ZAMA G/C,22.0,,Army,,4,3,-,3,-,-,15,1,1,-,,-,17.0,1.0,2021.0,Japan,35.488587,139.40767
ZAMA,,,,,21,18,12,33,3,-,147,8,8,-,,9,172.0,1.0,2021.0,Japan,35.488587,139.40767
HAVANA'S,26.0,,Army,,-,1,2,1,1,-,6,1,1,-,,1,9.0,1.0,2021.0,Japan,,
HASHMARKS,26.0,,Marine Corps,,-,6,4,4,-,-,20,1,1,-,,2,24.0,1.0,2021.0,Japan,,
COURTNEY B/C,26.0,,Marine Corps,,-,6,2,2,2,-,15,1,1,-,,2,19.0,1.0,2021.0,Japan,,
TAIYO G/C,26.0,,Marine Corps,,9,10,-,11,2,-,53,1,2,-,,2,58.0,1.0,2021.0,Japan,,
BUTLER B/C,26.0,,Marine Corps,,4,3,1,9,2,3,26,1,1,-,,2,30.0,1.0,2021.0,Japan,,
OCEAN BREEZE,26.0,,Marine Corps,,18,16,-,25,3,-,78,1,3,-,,2,84.0,1.0,2021.0,Japan,,
SURFSIDE,26.0,,Marine Corps,,-,4,-,6,2,-,18,1,1,-,,2,22.0,1.0,2021.0,Japan,,
PALMS,26.0,,Marine Corps,,8,6,4,10,2,-,46,1,2,-,,2,51.0,1.0,2021.0,Japan,,
WEST PAC LODGE,26.0,,Marine Corps,,-,4,4,2,-,-,16,1,1,-,,1,19.0,1.0,2021.0,Japan,,
BEACH HEAD,26.0,,Marine Corps,,-,5,3,-,-,-,11,1,1,-,,2,15.0,1.0,2021.0,Japan,,
CROW'S NEST,26.0,,Navy,,4,2,2,6,-,-,20,1,1,-,,2,24.0,1.0,2021.0,Japan,,
PORT CALL,26.0,,Navy,,-,2,2,-,3,-,9,1,1,-,,2,13.0,1.0,2021.0,Japan,,
WHISPERS,26.0,,Marine Corps,,4,2,-,-,-,-,10,-,1,-,,1,12.0,1.0,2021.0,Japan,,
HANSEN TLF,26.0,,Marine Corps,,-,4,2,2,2,-,12,1,1,-,,1,15.0,1.0,2021.0,Japan,,
OKINAWA,,,,,47,71,26,78,19,3,340,13,18,-,,24,395.0,1.0,2021.0,Japan,26.212401,127.68093
TORII PINES TLF,27.0,,Marine Corps,,4,6,2,5,-,-,25,1,1,-,,2,29.0,1.0,2021.0,Japan,,
IWAKUNI CLUB,27.0,,Marine Corps,,4,4,2,6,-,-,36,1,2,-,,2,41.0,1.0,2021.0,Japan,34.166562,132.21885
IWAKUNI,,,,,8,10,4,11,-,-,61,2,3,-,,4,70.0,1.0,2021.0,Japan,34.166562,132.21885
,,,,,,,,,,,,,,,,,,1.0,2021.0,Korea,,
TERROR CLUB,17.0,,Navy,,-,-,-,-,-,-,15,1,1,-,,2,19.0,1.0,2021.0,Korea,,
SINGAPORE,,,,,-,-,-,-,-,-,15,1,1,-,,2,19.0,1.0,2021.0,Korea,,
DRAGON HILL,20.0,,Army,,2,8,7,32,3,-,93,1,3,-,,3,100.0,1.0,2021.0,Korea,,
K-16 C/C,20.0,,Army,,-,2,-,-,-,-,14,1,1,-,,2,18.0,1.0,2021.0,Korea,,
SEOUL,,,,,2,10,7,32,3,-,107,2,4,-,,5,118.0,1.0,2021.0,Korea,37.566535,126.97797
STATE'S GRILL,21.0,,Army,,14,6,-,8,2,-,48,1,2,-,,2,53.0,1.0,2021.0,Korea,,
HILLTOP,21.0,,Army,,-,-,-,-,-,-,0,-,-,-,,-,0.0,1.0,2021.0,Korea,,
LOS CANTINA,21.0,,Army,,-,1,-,-,3,3,12,-,1,-,,2,15.0,1.0,2021.0,Korea,,
WINDY CITY,21.0,,Army,,-,5,6,-,-,-,25,1,1,-,,2,29.0,1.0,2021.0,Korea,,
EL GUERRERO,21.0,,Army,,-,10,-,3,-,-,29,1,1,-,,2,33.0,1.0,2021.0,Korea,,
TURTLE COVE,21.0,,Navy,,-,-,5,1,-,-,10,1,1,-,,2,14.0,1.0,2021.0,Korea,,
DAEGU,,,,,14,22,11,12,5,3,124,4,6,-,,10,144.0,1.0,2021.0,Korea,,
GATEWAY CLUB,23.0,,Army,,5,2,-,6,2,-,24,-,-,1,,-,25.0,1.0,2021.0,Korea,,
WARRIOR'S,23.0,,Army,,-,2,2,-,-,-,14,1,1,-,,1,17.0,1.0,2021.0,Korea,,
CASEY B/C,23.0,,Army,,4,2,-,4,2,-,24,1,1,-,,1,27.0,1.0,2021.0,Korea,,
CASEY LODGE,23.0,,Army,,-,1,2,2,-,-,11,1,1,-,,1,14.0,1.0,2021.0,Korea,,
UIJEONGBU,,,,,9,7,4,12,4,-,73,3,3,1,,3,83.0,1.0,2021.0,Korea,,
FLIGHTLINE,24.0,,Army,,-,-,-,2,-,-,10,1,1,-,,1,13.0,1.0,2021.0,Korea,,
CAVE,24.0,,Army,,6,5,-,8,-,-,41,1,2,-,,2,46.0,1.0,2021.0,Korea,,
HUMPHREYS B/C,24.0,,Army,,4,4,-,4,-,-,20,1,1,-,,2,24.0,1.0,2021.0,Korea,,
MORNING CALM,24.0,,Army,,15,6,-,25,6,-,67,1,2,-,,2,72.0,1.0,2021.0,Korea,,
PYEONGTAEK,,,,,25,15,-,39,6,-,138,4,6,-,,7,155.0,1.0,2021.0,Korea,36.992108,127.11294
IRISH PUB,2.0,194.0,Army,14,4,10,-,10,4,-,42,1,2,-,,3,48.0,2.0,2021.0,Europe,,
LCCC,2.0,195.0,Army,10,3,5,-,10,2,-,30,1,2,-,,2,35.0,2.0,2021.0,Europe,,
KAZABRA,2.0,196.0,Army,6,-,4,-,-,2,-,12,1,1,-,,1,15.0,2.0,2021.0,Europe,,
STRIKERS,2.0,218.0,Army,9,4,7,2,8,3,-,33,1,2,-,,2,38.0,2.0,2021.0,Europe,,
GOLD MINE,2.0,1038.0,Army,9,4,3,3,3,-,-,22,1,2,-,,2,27.0,2.0,2021.0,Europe,,
ROB JAVA CAFE,2.0,2887.0,Army,6,-,3,1,1,1,-,12,1,1,-,,1,15.0,2.0,2021.0,Europe,,
SEMBACH C/C,2.0,3072.0,Army,7,-,2,-,7,3,-,19,1,1,-,,2,23.0,2.0,2021.0,Europe,49.511398,7.864983
