,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep
Yokosuka B/C,"93,003","29,490","83,790","67,773","90,352","79,083","42,543","6,894","71,681","72,257","79,454","124,007"
Club Alliance,"156,684","158,465","119,104","136,506","138,942","264,314","245,317","195,900","-3,397","103,812","158,718","98,819"
CPO Club,"29,547","21,545","15,292","35,624","26,729","-1,264","43,615","69,376","31,572","21,261","34,720","10,409"
Takemiya Club,"7,423","1,737",795,"4,040","8,039","20,729","17,477","4,627","12,591","10,819","11,906","9,145"
Officers Club,"45,820","25,516","36,170","6,001","41,804","59,541","31,518","45,463","34,473","54,175","46,542","19,565"
SeaSide Club,"1,783","114,223","107,976","285,951","175,990","189,006","109,818","114,004","182,281","112,788","148,049","120,920"
,,,,,,,,,,,,
Total Japan Slot Revenue,"1,761,598","1,982,085","1,754,274","2,191,248","2,127,354","2,341,863","2,095,584","2,475,852","1,936,160","1,782,684","1,926,893","1,955,614"
,,,,,,,,,,,,
Total Slot Revenue,"3,475,957","4,134,072","3,491,166","4,145,252","3,785,916","4,190,703","3,926,993","4,592,270","3,936,018","3,164,166","4,160,417","3,827,069"
Slot NAFI Reimbursement,,,,,,,,,,,,
Camp Humphreys,,,,,,,,,,,,
,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep
,,,,,,,,,,,,
Terror Club NAFI,"1,701",538,"3,484","3,646","3,692","4,925","6,015","2,067","5,739","2,711","1,825","1,307"
Cave NAFI,"55,646","44,441","56,359","32,915","43,628","55,442","55,601","66,593","84,388","58,035","102,123","55,013"
Morning Calm NAFI,"133,388","164,669","141,301","130,008","125,564","143,196","137,441","168,818","103,550","120,092","140,774","144,113"
Flighline Tap Room NAFI,"7,525","10,918","4,289","8,431","11,268","12,582","1,944",0,0,0,0,0
Humphreys B/C NAFI,"7,762","6,440","4,413","3,039","8,113","7,445","6,009","7,961","6,533","5,830","5,754","8,649"
Seoul,,,,,,,,,,,,
K-16 Community Club NAFI,"4,690","3,253","1,810","3,023","2,390","4,524","4,881","3,319","4,608","3,882","2,588",789
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill Lodge NAFI,"67,762","78,613","95,666","91,987","85,893","69,224","115,904","95,589","74,459","67,916","66,702","102,671"
Navy Seoul,,,,,,,,,,,,
Taegu,,,,,,,,,,,,
El Guerrero NAFI,"3,291","7,253","6,774","14,321","13,020","9,043","11,670","24,589","12,342","9,961","12,603","11,910"
Evergreen NAFI,0,0,0,0,0,0,0,0,0,0,0,611
State's Grill NAFI,"4,363",0,0,0,0,0,0,0,0,0,243,991
Perimeter Pub NAFI,"11,153","8,911","6,465","6,372","12,047","2,756","9,191","9,642","7,354","5,120","15,371","5,248"
Hilltop NAFI,"23,623","14,198","20,125","8,857","6,894","22,659","8,844","13,165","11,678","4,518",0,"7,902"
Windy City Bowl & Grill NAFI,"12,728","10,357","7,856","8,439","2,090","5,075","10,408","6,971","2,403",0,"6,264",0
Navy Pusan,,,,,,,,,,,,
Turtle Cove NAFI,"28,770","15,692","7,672","32,981","21,039","10,052","18,215","11,062","24,097","13,891","12,859","25,766"
Casey / Hovey,,,,,,,,,,,,
Casey Bowl NAFI,"8,878","11,467","5,863","3,034","3,960","8,332","5,483","6,250","7,102","5,049","6,800","4,236"
Casey Lodging NAFI,"9,355","15,269","14,041","18,612","9,182","15,222","6,322","8,356","12,023","9,305","13,801","7,596"
Gateway Club NAFI,"5,916","11,976","11,334","5,489","10,298","10,766","16,146","18,680","16,728","20,141","22,328","21,516"
Warrior's NAFI,"4,920","6,531","7,822","2,500","2,657","4,703","2,009","4,028","6,730","4,127","6,645","5,139"
Uijongbu Corridor,,,,,,,,,,,,
,,,,,,,,,,,,
Total Korea NAFI Reimburse.,"391,471","410,526","395,274","373,654","361,735","385,946","416,083","447,090","379,734","330,578","416,680","403,457"
Iwakuni USMC,,,,,,,,,,,,
Iwakuni Club NAFI,"37,171","50,702","29,618","41,090","86,382","52,657","38,176","103,558","73,877","110,335","6,452",0
Torii Pines TLF NAFI,"77,572","89,250","38,581","48,420","62,909","109,496","79,492","97,452","28,222","44,527","108,368","117,331"
Camp Butler / Foster,,,,,,,,,,,,
Butler Bowl NAFI,"61,200","54,053","21,478","80,144","78,525","74,341","87,190","73,443","50,010","62,255","73,942","64,439"
Ocean Breeze NAFI,"362,783","301,431","320,001","344,610","388,041","310,243","364,551","382,565","312,040","359,312","208,181","368,660"
Taiyo Golf Course NAFI,"109,203","200,212","210,324","259,057","227,542","201,634","166,840","254,569","214,051","72,076","24,895","231,581"
Whispers NAFI,"74,965","102,184","29,332","68,574","63,074","67,929","61,394","91,035","51,509","39,339","58,830","52,554"
Camp Courtney,,,,,,,,,,,,
Courtney Bowl NAFI,"16,382","18,700","12,158","20,551","4,506","19,040","22,069","11,194","6,698","14,343","15,492","18,045"
Hashmarks NAFI,"1,809","4,444","1,798","1,952","6,494","2,644",0,0,0,0,0,0
Camp Futenma,,,,,,,,,,,,
Camp Hansen TLF NAFI,"5,298","4,866","3,166","1,358","1,439","1,967",0,0,0,0,0,0
Palms NAFI,"21,532","37,714","43,230","62,652","53,928","37,084","45,418","30,496","53,300","44,493","71,584","46,978"
Camp Kinser,,,,,,,,,,,,
,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep
,,,,,,,,,,,,
Surfside NAFI,"22,939","17,084","22,330","21,660","12,394","29,447","26,628","29,173","23,633","22,801","31,413","18,954"
Camp Schwab,,,,,,,,,,,,
Beach Head NAFI,"21,499","10,647","18,676","7,679","8,022","16,083","9,739","20,464","12,169","12,254","6,814","3,012"
Torii Station,,,,,,,,,,,,
Havana's NAFI,811,"1,372","1,698","2,111","1,505","1,244","1,475","1,682","1,869",374,"1,181",148
Navy Japan,,,,,,,,,,,,
Crow's Nest NAFI,"11,169","17,113","23,744","36,099","10,473","26,744","12,072","37,791","11,052","12,052","29,108","28,591"
