,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep
Total Slot Revenue,"4,653,038","3,861,555","4,486,567","4,457,266","4,057,627","4,010,271","1,248,820","1,794,657","3,008,800","3,368,025","2,564,519","3,775,788"
,,,,,,,,,,,,
,,,,,,,,,,,,
Camp Humphreys,,,,,,,,,,,,
,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep
,,,,,-,,,,,,,
Terror Club NAFI,0,"4,169","6,170","8,076","4,764",0,0,0,0,0,0,0
Cave NAFI,"82,674","89,155","63,724","86,333","72,629","67,583","29,514","70,763","77,030","88,305","73,505","60,826"
Morning Calm NAFI,"93,430","56,317","99,069","81,274","71,361","86,199","33,515","104,216","110,642","93,999","68,380","98,420"
Flighline Tap Room NAFI,"2,597",0,0,0,0,0,0,"1,380","1,636","5,479","4,096","11,145"
Humphreys B/C NAFI,"14,503","13,781","12,886","15,097","11,730","22,573","3,543","12,969","12,214","12,330","6,526","10,766"
Seoul,,,,,,,,,,,,
K-16 Community Club NAFI,"7,229","4,021","3,625","3,504","4,968","5,627","13,952","11,182","8,039","9,925","6,593","4,317"
Main Post Club NAFI,"7,687","13,246","10,165","12,366","6,096","3,741",0,0,0,0,0,0
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill Lodge NAFI,"91,764","66,978","112,106","119,930","77,726","69,903","65,347","88,963","100,677","74,729","92,059","122,910"
Navy Seoul,,,,,,,,,,,,
Taegu,,,,,,,,,,,,
El Guerrero NAFI,"14,169","10,007","6,438","13,003","11,921",0,0,"2,272","15,086","24,697","18,473","20,428"
State's Grill NAFI,"3,990","7,608","6,137","5,782","2,778",0,0,0,"6,374","9,050","22,074","21,408"
La Cantina El Guerrero NAFI,"10,112","10,573","10,526","10,656","8,651",0,0,0,11,0,0,0
Hilltop NAFI,"33,605","21,655","25,318","29,424","19,869",0,0,"7,143","32,541","21,320",0,0
Windy City Bowl & Grill NAFI,"6,258","3,887","3,242","4,632","7,963",0,0,0,"9,892","11,550","12,823","13,173"
Navy Pusan,,,,,,,,,,,,
Turtle Cove NAFI,"20,363","23,407","14,748","14,145","29,912","28,908","18,937","11,450","5,800","15,840","8,480","55,099"
Casey / Hovey,,,,,,,,,,,,
Casey Bowl NAFI,"6,987","6,174","5,598","6,709","7,599","7,130","6,373","7,968","7,255","1,642","9,307","7,361"
Casey Lodging NAFI,"16,116","17,937","18,229","10,841","10,244","9,695","13,908","13,495","10,855","7,834","12,517","16,075"
Gateway Club NAFI,"15,606","11,414","23,200","11,150","17,354","16,871","19,419","8,372","16,486","8,088","20,635","13,977"
Warrior's NAFI,593,"5,553","5,308","1,424","3,857","4,258","9,176","4,047","2,947","7,610","8,003",0
Uijongbu Corridor,,,,,,,,,,,,
,,,,,-,,,,,,,
Total Korea NAFI Reimburse.,"427,683","365,882","426,489","434,346","369,422","322,488","213,684","344,220","417,485","392,398","363,471","455,905"
Iwakuni USMC,,,,,,,,,,,,
Iwakuni Club NAFI,"108,897","70,049","107,414","81,272","82,661","85,878",-670,0,"55,445","55,218","85,420","65,407"
Torii Pines TLF NAFI,"71,132","85,468","98,237","72,516","86,800","67,846","4,152",0,"58,083","58,207","53,894","67,242"
Camp Butler / Foster,,,,,,,,,,,,
Butler Bowl NAFI,"75,587","51,919","53,429","51,098","66,405","66,454","7,343",0,"32,433","20,912","51,652","102,107"
Ocean Breeze NAFI,"390,003","391,713","356,601","346,464","336,686","424,854","37,432",0,"366,215","136,107",0,"107,822"
Taiyo Golf Course NAFI,"223,493","257,311","261,739","254,233","212,572","224,707","35,640",0,"195,810","73,121","209,873","210,346"
West Pac Lodge NAFI,"14,214","12,071","11,765","20,520","19,031","23,487","10,885",0,0,"18,283",0,0
Whispers NAFI,"34,757","52,903","55,918","36,467","46,913","35,682","48,711",0,0,"49,552",0,0
Camp Courtney,,,,,,,,,,,,
Courtney Bowl NAFI,"18,766","16,849","34,902","26,793","27,373","25,395","7,944",0,"8,384","24,471","17,714","31,650"
Hashmarks NAFI,"11,442","10,934","5,526","6,639",531,"2,607","8,273",0,"4,160",0,0,"5,873"
Camp Futenma,,,,,,,,,,,,
Camp Hansen TLF NAFI,"1,950",0,"2,778",999,757,"3,276",0,0,0,"2,921",0,0
Palms NAFI,"54,344","64,666","63,518","53,447","65,200","70,068","7,892",0,"34,782","30,771",0,"31,795"
,,,,,,,,,,,,
,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep
,,,,,-,,,,,,,
Camp Kinser,,,,,,,,,,,,
Surfside NAFI,"26,218","20,008","29,624","20,882","35,003","47,052",67,0,"14,393","28,177","5,448","56,322"
Camp Schwab,,,,,,,,,,,,
Beach Head NAFI,"15,330","4,881","16,855","4,071","4,297","10,168",6,0,"2,087","2,982","1,238","1,479"
Torii Station,,,,,,,,,,,,
Havana's NAFI,990,"1,013","2,038",923,"1,655",638,926,0,"1,017",892,0,0
Navy Japan,,,,,,,,,,,,
Crow's Nest NAFI,"9,415","9,445","31,310","17,270","23,288","20,921",0,0,"9,480","21,855","25,572","16,913"
Port Call NAFI,"6,274","7,764","8,024","2,930","7,924","1,586","2,294",0,"3,306",964,0,337
Camp Fuji,,,,,,,,,,,,
Road House NAFI,"1,448",52,682,"1,162",660,319,0,0,0,"3,395","2,004","1,348"
Camp Zama,,,,,,,,,,,,
SHA Club NAFI,"1,841",353,"2,466",716,"1,634",0,0,0,"1,088","1,968",628,707
Zama Bowl NAFI,"2,914","3,816","2,003","2,972","3,895","4,205",0,0,"4,866","5,570",419,"7,281"
Zama Community Club NAFI,"21,093","21,035","28,539","23,780","22,196","27,867",0,0,"5,652","23,728","10,265","28,708"
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hotel NAFI,"127,944","46,934","73,772","82,654","65,680","52,455",0,0,0,"41,805","25,822",0
Corner Pocket NAFI,"12,249","21,390","18,115","38,935","3,089","24,819",0,0,0,"21,179","14,948","36,046"
Club Trilogy NAFI,"84,868","52,098","61,091","87,046","77,095","91,458",0,0,"23,117","64,508","52,814","86,007"
Sasebo,,,,,,,,,,,,
Harbor View Club NAFI,"71,769","34,792","43,754","88,553","65,214","61,832",0,0,0,"49,627","42,473","29,163"
Hario NAFI,"21,208","9,883","25,986","15,821","4,512","14,166",0,0,0,"22,290","3,066","29,969"
Galaxies NAFI,"97,633","87,753","130,722","50,160","109,789","72,741",0,0,0,"83,402","71,215","63,871"
Yokosuka,,,,,,,,,,,,
Yokosuka B/C NAFI,"91,833","102,998","84,219","93,597","135,521","79,580",0,0,0,"2,160",0,"1,717"
Club Alliance NAFI,"90,555","91,004","81,104","91,954","129,887","112,439",0,0,0,"2,830",0,"18,027"
CPO Club NAFI,"14,553","33,882","39,876","28,796","36,386","24,193",0,0,0,0,0,"15,275"
Takemiya Club NAFI,528,"6,398","4,099","1,353","12,724","2,716",2,0,0,0,0,0
Officers Club NAFI,"17,740","28,683","24,879","41,186","29,105","55,202",0,0,0,0,0,0
SeaSide Club NAFI,"116,703","100,670","132,002","142,054","135,553","106,761",0,0,"36,765","192,258","54,842","138,455"
,,,,,-,,,,,,,
Total Japan NAFI Reimburse.,"1,837,691","1,698,735","1,892,987","1,787,263","1,850,036","1,841,372","170,897",0,"857,083","1,039,153","729,307","1,153,867"
Total Far East NAFI Reimburse,"2,265,374","2,064,617","2,319,476","2,221,609","2,219,458","2,163,860","384,581","344,220","1,274,568","1,431,551","1,092,778","1,609,772"
,,,,,,,,,,,,
,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
,,,,,,,,,,,,
Slot Revenue,,,,,,,,,,,,
,,,,,,,,,,,,
Terror Club,0,0,0,0,0,-31,0,0,0,0,0,0
Camp Humphreys,,,,,,,,,,,,
Cave,"496,903","262,408","438,217","219,943","302,238","229,448","436,113","294,959","252,515","356,323","170,744","316,257"
Flighline Tap Room,"36,330","-4,996","54,330",0,"30,401","47,598","79,492","92,880","110,816","56,514","44,068","37,944"
Morning Calm,"534,537","360,323","684,926","364,079","573,074","727,092","609,018","498,589","706,480","582,395","672,701","494,953"
Humphreys B/C,"38,552","58,887","52,620","14,209","55,472","54,669","40,198","43,477","28,754","34,362","34,656","60,102"
Seoul,,,,,,,,,,,,
K-16 Community Club,"46,861","45,083","13,301","18,775","25,338","7,703","28,224","5,882","37,807","34,772","13,399","18,886"
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill Lodge,"290,829","374,686","600,868","65,462","438,786","741,972","463,168","493,359","442,939","146,678","527,134","314,662"
Navy Seoul,,,,,,,,,,,,
Taegu,,,,,,,,,,,,
El Guerrero,"86,382","95,822","104,433","88,597","113,597","123,582","95,451","68,886","122,662","114,634","117,204","129,609"
State's Grill,"63,040","87,355","134,208","96,429","23,637","59,873","30,076","45,158","18,417","47,132","22,381","27,203"
Hilltop,0,0,0,0,"119,444","115,132","183,608","64,501","87,086","85,153","44,892","111,551"
Windy City Bowl & Grill,"89,558","54,242","40,462","28,308","21,210","51,826","55,427","29,294","42,301","40,927","27,981","32,290"
Navy Pusan,,,,,,,,,,,,
Turtle Cove,"20,396","17,065","61,601","44,457","20,663","19,338","8,401","63,946","41,594","12,079","42,252","23,267"
Casey / Hovey,,,,,,,,,,,,
Casey Bowl,"58,482","58,863","51,767","9,033","9,222","34,808","46,058","24,851","49,774","5,021","51,534","65,591"
Casey Lodging,"47,707","63,313","31,336","33,255","151,082","73,772","51,214","76,804","121,674","92,865","142,843","51,539"
Gateway Club,"87,505","48,276","70,688","80,875","96,284","49,811","80,666","40,673","38,688","24,925","77,350","66,056"
Warrior's,"23,322","8,343","5,556","19,016","31,275","14,811","35,597","10,648","21,808","12,898","7,912","16,614"
Uijongbu Corridor,,,,,,,,,,,,
,,,,,,,,,,,,
Total Korea Slot Revenue,"1,920,404","1,529,670","2,344,313","1,082,438","2,011,723","2,351,404","2,242,711","1,853,907","2,123,315","1,646,678","1,997,051","1,766,524"
Iwakuni USMC,,,,,,,,,,,,
Iwakuni Club,"40,986","52,541","49,955","40,481","94,727","61,124","129,605","56,222","123,159","67,337","110,913","90,952"
Torii Pines TLF,"76,075","95,326","105,331","73,988","86,904","113,435","71,234","111,359","155,682","88,769","67,586","135,318"
Camp Butler / Foster,,,,,,,,,,,,
Butler Bowl,"94,295","98,531","99,026","15,108","74,447","95,294",0,"-18,310","98,536","53,620","92,105","52,127"
Ocean Breeze,"431,209","558,026","472,355","151,737","291,900","552,836","383,891","340,474","304,316","405,974","421,025","344,666"
Taiyo Golf Course,"377,028","281,417","263,070","115,890","238,638","271,530","339,836","271,676","214,860","231,387","231,150","269,562"
West Pac Lodge,0,"13,685","41,479","20,592","-18,424","43,649","32,377","13,360","11,947","-2,851","10,716","36,874"
Whispers,0,"12,861","80,812","14,035","29,164","60,249","43,362","71,910","98,311","44,110","68,425","5,764"
Camp Courtney,,,,,,,,,,,,
Courtney Bowl,"16,518","31,987","36,116",0,"35,579","22,260","14,801","18,946","22,604","32,103","12,706","15,835"
Hashmarks,"2,698","10,703","12,710","9,277","2,632","2,134","6,846",0,0,"2,029","9,619","2,372"
,,,,,,,,,,,,
Camp Futenma,,,,,,,,,,,,
Camp Hansen TLF,0,106,103,0,"1,404","1,030",0,0,"1,498","2,587",0,"3,419"
,,,,,,,,,,,,
,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
,,,,,,,,,,,,
Palms,"41,343","56,751","31,795","18,898","6,885","94,423","31,031","40,049","57,197","42,252","68,709","39,861"
Camp Kinser,,,,,,,,,,,,
Surfside,"57,796","60,922","22,388","18,942","36,361","54,776","43,538","44,927","44,719","31,342","70,686","33,354"
Camp Schwab,,,,,,,,,,,,
Beach Head,"8,159","5,092","12,384","16,972","-3,733","12,229","5,831","8,833","10,893","16,529","13,555","4,076"
Torii Station,,,,,,,,,,,,
Havana's,"-1,320","6,426","5,097","7,811","5,097",945,0,0,0,0,"2,332","9,992"
Navy Japan,,,,,,,,,,,,
Crow's Nest,"43,369","30,592","29,463","43,608","8,875","20,970","9,858","23,343","35,790","44,664","25,085","38,215"
Port Call,0,"6,165",792,"2,294",527,44,"2,502",0,"-2,100","1,490","7,813","16,006"
Camp Fuji,,,,,,,,,,,,
Road House,"1,368","1,339",323,632,530,522,"5,912",545,"4,138","2,989","3,836","5,382"
Camp Zama,,,,,,,,,,,,
SHA Club,"5,019","16,672","4,955","5,955","5,611","2,409",0,0,"3,595","-28,450","23,762","6,286"
Zama Bowl,"11,855","12,738","2,242","6,921","-2,045","38,585","11,969","11,278","15,759","15,913","10,704","4,472"
Zama Community Club,"71,943","147,157","101,080","107,693","118,962","191,617","63,733","111,552","130,998","58,904","81,216","120,096"
Zama Golf Course,"3,421","10,491","10,524","5,314","10,207","3,615","7,762","8,197","14,100","9,623","12,374",0
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hotel,0,0,0,0,0,"11,413","20,615","55,354","90,614","74,941","55,461","58,953"
Corner Pocket,"24,532","11,609","3,206","4,586","17,570","25,637","30,405","26,759","-1,158","43,658","13,914","31,798"
Club Trilogy,"150,502","86,577","181,437","95,170","91,733","122,802","163,348","53,757","80,754","90,539","39,554","107,547"
Sasebo,,,,,,,,,,,,
Harbor View Club,"40,788","70,760","76,902","81,035","66,516","88,697","69,293","97,826","156,373","60,531","82,988","74,602"
Hario,"17,839","40,778","35,663","26,096","25,515","26,817","33,922","24,432","34,143","22,048","22,389","41,234"
Galaxies,"39,374","116,838","150,538","61,444","55,229","165,778","109,998","106,604","124,763","54,767","66,543","112,808"
Yokosuka,,,,,,,,,,,,
Yokosuka B/C,0,0,"2,052",0,"5,676","-9,165","19,609","-11,347","52,889","59,004","-3,087","91,312"
Club Alliance,"6,611","40,451","109,728","27,257","38,150","86,422","194,093","62,704","-24,910","108,117","99,383","188,409"
CPO Club,"29,009","37,096","26,296","9,790","23,379","32,792","35,325","-6,829","46,672","16,167","32,793","36,742"
Takemiya Club,"2,098","3,067","16,007","5,559","3,113","1,667","14,456","12,199","8,621","5,355","16,151","8,747"
Officers Club,0,0,"7,359",0,"21,435","1,775","37,447","33,045","37,908","33,443","26,198","14,769"
SeaSide Club,"228,447","196,979","255,354","89,259","122,106","281,978","263,776","174,992","203,628","192,710","172,430","97,985"
,,,,,,,,,,,,
Total Japan Slot Revenue,"1,820,962","2,113,683","2,246,542","1,076,344","1,494,670","2,480,289","2,196,375","1,743,857","2,156,299","1,881,601","1,969,034","2,099,535"
Total Slot Revenue,"3,741,366","3,643,353","4,590,855","2,158,782","3,506,393","4,831,693","4,439,086","3,597,764","4,279,614","3,528,279","3,966,085","3,866,059"
Slot NAFI Reimbursement,,,,,,,,,,,,
,,,,,,,,,,,,
Camp Humphreys,,,,,,,,,,,,
,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
,,,,,,,,,,,,
Cave NAFI,"85,907","64,799","75,326","43,989","60,448","56,997","76,116","65,334","55,108","60,317","41,795","55,606"
Morning Calm NAFI,"101,571","87,318","124,967","74,411","118,585","141,015","120,684","115,073","122,752","131,898","125,947","102,468"
Flighline Tap Room NAFI,"7,266","6,848","3,019",0,"6,080","9,520","19,491","16,761","20,386","11,303","8,814","7,589"
Humphreys B/C NAFI,"10,377","9,111","10,837","4,060","11,360","9,137","8,885","7,850","5,751","8,883","5,640","11,301"
Seoul,,,,,,,,,,,,
K-16 Community Club NAFI,"7,922","9,017","2,660","3,755","5,068","1,541","5,645","3,004","6,248","6,440","2,680","3,777"
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill Lodge NAFI,"79,849","71,222","109,930","36,209","80,035","125,275","107,523","98,985","78,271","52,038","77,838","69,976"
Navy Seoul,,,,,,,,,,,,
Taegu,,,,,,,,,,,,
El Guerrero NAFI,"19,199","19,041","19,659","17,935","22,182","24,466","19,352","14,653","23,394","22,927","23,551","25,812"
State's Grill NAFI,"15,852","17,292","24,033","19,508","4,551","11,673","6,015","9,032","5,898","8,490","4,231","4,407"
Hilltop NAFI,0,0,0,0,"23,889","24,180","35,568","14,068","17,764","15,515","10,311","20,978"
Windy City Bowl & Grill NAFI,"17,557","11,682","7,259","5,662","6,176","9,133","10,384","6,259","8,661","7,584","6,085","5,969"
Navy Pusan,,,,,,,,,,,,
Turtle Cove NAFI,"14,277","12,843","42,223","31,120","14,464","13,536","14,734","38,130","26,896","18,844","29,576","19,618"
Casey / Hovey,,,,,,,,,,,,
Casey Bowl NAFI,"11,696","11,773","10,353","1,807","1,844","9,084","7,089","4,970","9,955","1,004","12,562","11,852"
Casey Lodging NAFI,"9,541","12,663","10,797","17,400","15,182","14,511","11,032","16,049","22,858","20,595","26,547","11,074"
Gateway Club NAFI,"17,501","9,655","14,994","20,314","15,274","8,950","16,400","7,847","7,738","4,985","16,921","11,760"
Warrior's NAFI,"4,678","2,998","1,812","2,895","4,876","2,962","7,821","2,442","3,347","2,840","2,976","2,426"
Uijongbu Corridor,,,,,,,,,,,,
,,,,,,,,,,,,
Total Korea NAFI Reimburse.,"403,193","346,262","457,869","279,065","390,014","461,980","466,739","420,457","415,027","373,663","395,474","364,613"
Iwakuni USMC,,,,,,,,,,,,
Iwakuni Club NAFI,"40,639","36,565","37,582","56,141","56,921","44,003","109,949","42,345","96,472","61,067","79,955","72,761"
Torii Pines TLF NAFI,"63,976","89,220","69,253","60,374","76,759","81,266","63,928","101,366","105,325","83,951","58,061","91,326"
Camp Butler / Foster,,,,,,,,,,,,
Butler Bowl NAFI,"81,576","79,336","77,390","7,267","63,259","72,533",0,"13,263","53,321","44,265","69,912","45,630"
Ocean Breeze NAFI,"337,283","426,203","387,347","130,527","241,457","458,208","264,637","272,379","301,939","283,959","337,387","283,489"
Taiyo Golf Course NAFI,"305,791","220,966","214,126","95,428","191,320","236,592","245,705","217,341","174,426","191,992","179,305","214,983"
West Pac Lodge NAFI,0,"12,274","31,858","16,474","7,323","12,858","25,901","10,688","9,557","5,998","11,348","18,446"
Whispers NAFI,0,"10,289","65,788","10,089","23,331","48,199","44,170","54,737","71,959","35,288","54,740","4,611"
Camp Courtney,,,,,,,,,,,,
Courtney Bowl NAFI,"13,214","25,590","28,892",0,"28,463","17,808","11,841","15,156","19,974","23,792","12,652","10,181"
Hashmarks NAFI,"2,158","8,562","10,168","7,422","2,106","1,707","5,477",0,0,"1,623","7,695","1,898"
Camp Futenma,,,,,,,,,,,,
Camp Hansen TLF NAFI,0,85,82,0,"1,123",824,0,0,"1,198","2,069",0,"2,736"
Palms NAFI,"33,075","45,401","41,565","6,325","7,238","66,473","24,825","32,039","45,757","35,021","53,748","31,889"
Camp Kinser,,,,,,,,,,,,
Surfside NAFI,"46,237","48,738","24,521","9,678","31,764","40,010","34,830","35,942","35,775","32,220","49,402","26,683"
Camp Schwab,,,,,,,,,,,,
,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
,,,,,,,,,,,,
Beach Head NAFI,"6,527","4,074","9,907","14,616","1,440","4,318","5,672","6,060","8,714","13,224","10,844","3,261"
Torii Station,,,,,,,,,,,,
Havana's NAFI,0,"1,354",686,"1,562","1,019",189,0,0,0,0,466,"1,998"
Navy Japan,,,,,,,,,,,,
Crow's Nest NAFI,"36,636","24,893","21,209","34,886","7,100","16,776","12,911","34,416","12,536","31,061","20,068","34,074"
Port Call NAFI,0,"1,496",634,"1,835",422,35,"2,002",0,0,"2,466","6,250","12,805"
Camp Fuji,,,,,,,,,,,,
Road House NAFI,"1,094","1,071",258,506,424,418,"4,730",436,"3,310","2,391","3,069","4,306"
Camp Zama,,,,,,,,,,,,
SHA Club NAFI,"1,004","3,334",991,"1,191","1,122",482,0,0,719,0,105,215
Zama Bowl NAFI,"2,371","2,548",448,"2,103",685,"5,905","2,394","3,212","2,196","3,183","2,141","1,150"
Zama Community Club NAFI,"17,319","29,318","18,802","25,214","19,970","37,068","14,376","22,754","24,127","14,382","15,519","22,143"
Zama Golf Course NAFI,684,"2,098","2,105","1,063","2,041",723,"1,552","1,639","2,820","1,925","2,475",0
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hotel NAFI,0,0,0,0,0,"9,131","16,492","46,913","70,892","63,107","40,184","47,162"
Corner Pocket NAFI,"19,625","11,852",0,"3,669","14,056","20,509","24,324","22,815","22,306","10,287","11,131","25,438"
