,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep
Slot Revenue,,,,,,,,,,,,
,,,,,,,,,,,,
Terror Club,0,"5,956","8,814","11,537","6,806",0,0,0,0,0,0,0
Camp Humphreys,,,,,,,,,,,,
Cave,"471,540","445,773","282,309","467,976","363,145","337,915","147,570","353,815","316,363","510,313","341,876","262,414"
Flighline Tap Room,"12,986",0,0,0,0,0,0,"6,898","2,190","33,386","20,482","55,723"
Morning Calm,"470,010","324,240","433,176","455,495","318,243","482,596","90,201","597,287","527,039","491,916","264,843","525,810"
Humphreys B/C,"74,097","68,906","54,991","83,137","53,908","119,395","17,717","62,865","48,335","76,366","32,630","53,830"
Seoul,,,,,,,,,,,,
K-16 Community Club,"36,147","20,107","18,127","17,520","24,839","26,342","71,556","55,911","40,194","49,625","16,815","30,479"
Main Post Club,"38,433","66,229","34,378","78,281","26,373","22,813",0,0,0,0,0,0
AFRC Dragon Hill Lodge,,,,,,,,,,,,
Dragon Hill Lodge,"505,518","293,741","641,797","560,917","354,188","422,691","274,977","484,393","515,568","328,861","453,333","666,292"
Navy Seoul,,,,,,,,,,,,
Taegu,,,,,,,,,,,,
El Guerrero,"74,348","50,034","29,191","65,612","62,010",0,0,"11,360","68,422","130,490","87,283","107,221"
State's Grill,"14,269","43,723","30,686","28,909","13,892",0,0,0,"31,870","45,248","101,577","115,835"
La Cantina El Guerrero,"50,561","47,077","58,415","53,278","43,253",0,0,0,104,0,0,0
Hilltop,"168,024","108,276","120,328","153,384","99,346",0,0,"35,716","152,865","116,440",0,0
Windy City Bowl & Grill,"31,290","19,437","9,847","29,525","39,817",0,0,0,"49,459","55,929","60,705","69,327"
Navy Pusan,,,,,,,,,,,,
Turtle Cove,"33,819","33,439","21,068","7,260","55,679","41,026","27,052","16,357","8,286","20,913","2,072","90,471"
Casey / Hovey,,,,,,,,,,,,
Casey Bowl,"21,400","44,404","27,989","33,547","37,994","31,617","35,896","39,840","36,275","8,210","46,535","36,805"
Casey Lodging,"92,221","89,682","91,144","52,589","45,468","42,151","83,227","67,474","54,274","39,168","56,595","86,361"
Gateway Club,"74,601","56,050","120,447","46,995","93,912","85,969","97,097","44,673","82,428","22,155","118,996","72,344"
Warrior's,"10,062","27,766",-780,"34,437","19,287","21,288","45,881","18,068","14,858","35,271","29,484","14,141"
Uijongbu Corridor,,,,,,,,,,,,
Total Korea Slot Revenue,"2,179,326","1,744,840","1,981,927","2,180,399","1,658,160","1,633,803","891,174","1,794,657","1,948,530","1,964,291","1,633,226","2,187,053"
,,,,,,,,,,,,
Iwakuni USMC,,,,,,,,,,,,
Iwakuni Club,"142,923","69,881","151,948","85,978","98,912","127,373",-838,0,"69,306","57,796","99,898","99,862"
Torii Pines TLF,"95,727","79,072","130,833","101,847","108,586","68,867","29,568",0,"72,604","71,432","53,075","99,670"
Camp Butler / Foster,,,,,,,,,,,,
Butler Bowl,"96,186","45,220","88,775","58,052","87,423","84,472","9,179",0,"27,312","39,371","64,565","127,634"
Ocean Breeze,"468,934","492,594","460,113","416,448","419,921","510,040","86,642",0,"457,768","170,247",0,"99,901"
Taiyo Golf Course,"275,952","325,054","324,174","320,792","257,083","279,890","54,176",0,"242,217","93,947","262,341","262,933"
West Pac Lodge,"17,768","11,904",-198,"44,741","22,784","29,359","13,606",0,"-8,847","31,701",0,0
Whispers,"88,979","66,129","69,897","32,439","62,545","18,305","96,427",0,"-8,361","70,301",0,0
Camp Courtney,,,,,,,,,,,,
Courtney Bowl,"30,053","17,393","40,336","40,451","34,216","31,744","9,930",0,"10,480","30,589","22,143","39,562"
Hashmarks,"14,302","13,668","6,907","8,299",664,"2,044","11,556",0,"5,200",0,0,"7,342"
,,,,,,,,,,,,
,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep
,,,,,-,,,,,,,
Camp Futenma,,,,,,,,,,,,
Camp Hansen TLF,"2,437",0,"3,472","1,249",946,"4,095",0,0,0,"3,651",0,0
Palms,"71,558","80,833","79,398","63,009","76,106","96,777","9,865",0,"43,477","38,464",0,"39,743"
Camp Kinser,,,,,,,,,,,,
Surfside,"47,597","25,009","37,029","19,910","48,343","60,418",84,0,"17,991","35,221","-3,416","80,629"
Camp Schwab,,,,,,,,,,,,
Beach Head,"19,162","6,101","21,069","1,341","9,119","12,710",8,0,"2,608","3,728","1,547","1,849"
Torii Station,,,,,,,,,,,,
Havana's,"4,948","5,063","10,191","4,617","8,275","3,190","4,628",0,"5,084","4,458",0,0
Navy Japan,,,,,,,,,,,,
Crow's Nest,"11,769","11,806","39,137","21,588","29,110","26,151",0,0,"11,849","27,319","31,965","21,141"
Port Call,"9,250","9,705","10,030","3,662","9,905","1,982","2,867",0,"4,132","1,205",0,"-3,873"
Camp Fuji,,,,,,,,,,,,
Road House,"1,810",65,853,"1,453",825,399,0,0,0,"4,244","2,505","1,685"
Camp Zama,,,,,,,,,,,,
SHA Club,"12,784","1,765","12,329","3,581","8,169",0,0,0,"5,439","9,839","3,142","3,533"
Zama Bowl,"14,572","19,078","10,015","14,860","17,704","22,796",0,0,"24,330","27,850","-2,351","40,851"
Zama Community Club,"114,546","105,174","142,694","106,116","121,264","141,832",0,0,"20,910","125,987","37,153","157,708"
Navy Sanno Hotel,,,,,,,,,,,,
Sanno Hotel,"165,433","54,622","96,262","100,673","80,006","70,306",0,0,0,"47,479","37,055",0
Corner Pocket,"15,311","26,737","14,689","56,622","3,861","31,023",0,0,0,"26,474","18,686","45,058"
Club Trilogy,"106,085","65,122","66,916","118,255","96,369","114,322",0,0,"17,804","91,726","62,975","105,579"
Sasebo,,,,,,,,,,,,
Harbor View Club,"99,470","39,575","58,607","95,142","88,766","85,591",0,0,0,"55,943","54,905","40,732"
Hario,"29,246","10,416","29,836","22,432","7,568","17,708",0,0,0,"27,862",195,"41,098"
Galaxies,"123,740","102,498","176,759","53,880","137,092","99,891",0,0,0,"102,931","87,013","83,167"
Yokosuka,,,,,,,,,,,,
Yokosuka B/C,"109,981","121,174","89,681","119,515","151,927","101,134",0,0,0,"2,541",0,"2,020"
Club Alliance,"97,449","115,720","89,418","118,616","148,262","136,827",0,0,0,"3,330",0,"21,208"
CPO Club,"11,602","41,176","51,117","33,878","42,807","28,462",0,0,0,0,0,"12,496"
Takemiya Club,621,"7,527","4,822","1,591","14,969","-26,751","29,948",0,0,0,0,0
Officers Club,"20,870","33,745","21,826","54,512","32,337","68,234",0,0,0,0,0,0
SeaSide Club,"152,647","112,889","165,705","151,318","173,603","127,277",0,0,"38,967","198,098","97,897","157,207"
,,,,,-,,,,,,,
Total Japan Slot Revenue,"2,473,712","2,116,715","2,504,640","2,276,867","2,399,467","2,376,468","357,646",0,"1,060,270","1,403,734","931,293","1,588,735"
